path,area,preview
"backend/server.mjs","backend-http-api","HTTP routes, CORS, Smartling sync/import/mock endpoints"
"backend/smartlingAdapter.mjs","backend-smartling-client","Smartling authentication, job/file upload, translation download"
"backend/store.mjs","backend-storage","SQLite persistence and legacy JSON migration"
"backend/xlsxImport.mjs","backend-file-parser","XLSX ZIP/XML parser for custom bulk import"
"extension/content.js","extension-cms-content-script","CMS DOM scraping, panel rendering, translation insertion"
"extension/popup.js","extension-popup","Backend config, custom job submission, extension settings"
"extension/bulk-import.js","extension-bulk-import","XLSX import page, bulk submission, draft storage"
"extension/recent-jobs.js","extension-recent-jobs","Recent jobs dashboard, sync actions, favorites"
"extension/versionCheck.js","extension-update-check","Release info fetch and version comparison"
"extension/manifest.json","extension-permissions","Chromium host permissions and content script scope"
"extension/manifest.firefox.json","extension-permissions","Firefox host permissions and content script scope"
"extension/popup.html","extension-ui","Popup DOM structure"
"extension/bulk-import.html","extension-ui","Bulk import page DOM structure"
"extension/recent-jobs.html","extension-ui","Recent jobs page DOM structure"
"extension/styles.css","extension-ui-styles","Injected CMS panel CSS"
"extension/popup.css","extension-ui-styles","Popup CSS"
"extension/bulk-import.css","extension-ui-styles","Bulk import CSS"
"extension/recent-jobs.css","extension-ui-styles","Recent jobs CSS"
"docs/index.html","download-landing-page","Internal extension download landing page and release-info rendering"
"docs/styles.css","download-landing-page","Landing page CSS"
"scripts/build-extension.mjs","build-packaging","Extension build copying and manifest switching"
"scripts/package-extension.mjs","build-packaging","ZIP packaging and file copying"
"scripts/generate-release-info.mjs","build-packaging","Release info generation with git command"
"scripts/generate-custom-job-template.mjs","build-packaging","XLSX template generation"
"scripts/deploy-nginx-cms-smartling.sh","deployment","Internal deployment script"
"scripts/newrequestform.conf","deployment","Nginx reverse proxy configuration"
"ecosystem.config.cjs","deployment","PM2 backend process configuration"
"package.json","package-metadata","NPM scripts and package metadata"
"package-lock.json","package-metadata","Dependency lock metadata"
".env.example","configuration","Documented environment variables"
".gitignore","configuration","Secret/runtime data ignore rules"
"README.md","documentation","Operational and security-relevant documentation"
